variable,classification,scope,owner,action
ANTHROPIC_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
ANTHROPIC_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
ANTHROPIC_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
ASR_AZURE_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
ASR_AZURE_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
ASR_OPENAI_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
ASR_OPENAI_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
ASR_QWEN_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
ASR_QWEN_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
BAIDU_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
BAIDU_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
BOCHA_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
BOCHA_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
BRAVE_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
DEEPSEEK_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
DEEPSEEK_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
DEEPSEEK_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
DEFAULT_MODEL,config,development|preview|production,pending-m0,verify-value-and-scope
DOUBAO_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
DOUBAO_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
DOUBAO_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
GLM_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
GLM_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
GLM_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
GOOGLE_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
GOOGLE_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
GOOGLE_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
