route,source_file,runtime,declared_max_duration_seconds,vercel_effective_max_duration_seconds,static_risk_flags,initial_target,validation_status
/api/access-code/redeem,app/api/access-code/redeem/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/access-code/status,app/api/access-code/status/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/access-code/verify,app/api/access-code/verify/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/course-analytics,app/api/admin/course-analytics/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/courses/[id]/report,app/api/admin/courses/[id]/report/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/learning-tasks/[id]/ai-brief,app/api/admin/learning-tasks/[id]/ai-brief/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/learning-tasks/[id]/ai-suggestions/[suggestionId]/accept,app/api/admin/learning-tasks/[id]/ai-suggestions/[suggestionId]/accept/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/learning-tasks/[id]/archive,app/api/admin/learning-tasks/[id]/archive/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/learning-tasks/[id]/courses,app/api/admin/learning-tasks/[id]/courses/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/learning-tasks/[id]/learners,app/api/admin/learning-tasks/[id]/learners/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/learning-tasks/[id]/publish,app/api/admin/learning-tasks/[id]/publish/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/learning-tasks/[id]/report,app/api/admin/learning-tasks/[id]/report/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/learning-tasks/[id],app/api/admin/learning-tasks/[id]/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/learning-tasks,app/api/admin/learning-tasks/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/students/[id]/disable,app/api/admin/students/[id]/disable/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/students/[id]/enable,app/api/admin/students/[id]/enable/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/students/create,app/api/admin/students/create/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/students/reset-password,app/api/admin/students/reset-password/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/students,app/api/admin/students/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/teachers/create,app/api/admin/teachers/create/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/teachers/disable,app/api/admin/teachers/disable/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/teachers/enable,app/api/admin/teachers/enable/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/teachers/reset-password,app/api/admin/teachers/reset-password/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/teaching-dashboard,app/api/admin/teaching-dashboard/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/teaching-data,app/api/admin/teaching-data/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/admin/teaching-data-chat,app/api/admin/teaching-data-chat/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/agent/edit,app/api/agent/edit/route.ts,default,300,300,none,worker-candidate,pending-m1
/api/audio-upload,app/api/audio-upload/route.ts,nodejs,none,300,multipart|binary-body,worker-candidate,pending-m1
/api/azure-voices,app/api/azure-voices/route.ts,default,30,30,none,edgeone-candidate,pending-m1
/api/chat,app/api/chat/route.ts,default,60,60,none,edgeone-candidate,pending-m1
/api/classroom,app/api/classroom/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/classroom/snapshot,app/api/classroom/snapshot/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/classroom-media/[classroomId]/[...path],app/api/classroom-media/[classroomId]/[...path]/route.ts,default,none,300,native-or-fs,worker-candidate,pending-m1
/api/client-diagnostics,app/api/client-diagnostics/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/course-assets/sign-upload,app/api/course-assets/sign-upload/route.ts,nodejs,none,300,none,edgeone-candidate,pending-m1
/api/courses/[id]/assignments,app/api/courses/[id]/assignments/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/courses/[id]/revoice,app/api/courses/[id]/revoice/route.ts,nodejs,300,300,after,worker-candidate,pending-m1
/api/courses/[id],app/api/courses/[id]/route.ts,default,none,300,none,edgeone-candidate,pending-m1
/api/courses,app/api/courses/route.ts,nodejs,300,300,none,worker-candidate,pending-m1
